,"O*NET-SOC 2000 Code, 6dig","O*NET-SOC 2006 Code, 6dig","O*NET-SOC 2000 Codes, 8dig","O*NET-SOC 2006 Codes, 8dig, Left","O*NET-SOC 2000 Titles, 8dig","O*NET-SOC 2006 Titles, 8dig, Left","O*NET-SOC 2009 Code, 6dig","O*NET-SOC 2006 Codes, 8dig, Right","O*NET-SOC 2009 Codes, 8dig, Left","O*NET-SOC 2006 Titles, 8dig, Right","O*NET-SOC 2009 Titles, 8dig, Left","O*NET-SOC 2010 Code, 6dig","O*NET-SOC 2009 Codes, 8dig, Right","O*NET-SOC 2010 Codes, 8dig, Left","O*NET-SOC 2009 Titles, 8dig, Right","O*NET-SOC 2010 Titles, 8dig, Left","O*NET-SOC 2019 Code, 6dig","O*NET-SOC 2010 Codes, 8dig, Right","O*NET-SOC 2019 Codes, 8dig, Left","O*NET-SOC 2010 Titles, 8dig, Right","O*NET-SOC 2019 Titles, 8dig, Left"
212,19-4061,19-4061,19-4061.00 AND 19-4061.01,19-4061.00 AND 19-4061.01,Social Science Research Assistants AND City and Regional Planning Aides,Social Science Research Assistants AND City and Regional Planning Aides,19-4061,19-4061.00 AND 19-4061.01,19-4061.00 AND 19-4061.01,Social Science Research Assistants AND City and Regional Planning Aides,Social Science Research Assistants AND City and Regional Planning Aides,19-4061,19-4061.00 AND 19-4061.01,19-4061.00 AND 19-4061.01,Social Science Research Assistants AND City and Regional Planning Aides,Social Science Research Assistants AND City and Regional Planning Aides,19-3051,19-4061.01,19-3051.00,City and Regional Planning Aides,Urban and Regional Planners
213,19-4061,19-4061,19-4061.00 AND 19-4061.01,19-4061.00 AND 19-4061.01,Social Science Research Assistants AND City and Regional Planning Aides,Social Science Research Assistants AND City and Regional Planning Aides,19-4061,19-4061.00 AND 19-4061.01,19-4061.00 AND 19-4061.01,Social Science Research Assistants AND City and Regional Planning Aides,Social Science Research Assistants AND City and Regional Planning Aides,19-4061,19-4061.00 AND 19-4061.01,19-4061.00 AND 19-4061.01,Social Science Research Assistants AND City and Regional Planning Aides,Social Science Research Assistants AND City and Regional Planning Aides,19-4061,19-4061.00,19-4061.00,Social Science Research Assistants,Social Science Research Assistants
214,19-4091,19-4091,19-4091.00,19-4091.00,"Environmental Science and Protection Technicians, Including Health","Environmental Science and Protection Technicians, Including Health",19-4091,19-4091.00,19-4091.00,"Environmental Science and Protection Technicians, Including Health","Environmental Science and Protection Technicians, Including Health",19-4091,19-4091.00,19-4091.00,"Environmental Science and Protection Technicians, Including Health","Environmental Science and Protection Technicians, Including Health",19-4042,19-4091.00,19-4042.00,"Environmental Science and Protection Technicians, Including Health","Environmental Science and Protection Technicians, Including Health"
215,19-4092,19-4092,19-4092.00,19-4092.00,Forensic Science Technicians,Forensic Science Technicians,19-4092,19-4092.00,19-4092.00,Forensic Science Technicians,Forensic Science Technicians,19-4092,19-4092.00,19-4092.00,Forensic Science Technicians,Forensic Science Technicians,19-4092,19-4092.00,19-4092.00,Forensic Science Technicians,Forensic Science Technicians
216,19-4093,19-4093,19-4093.00,19-4093.00,Forest and Conservation Technicians,Forest and Conservation Technicians,19-4093,19-4093.00,19-4093.00,Forest and Conservation Technicians,Forest and Conservation Technicians,19-4093,19-4093.00,19-4093.00,Forest and Conservation Technicians,Forest and Conservation Technicians,19-4071,19-4093.00,19-4071.00,Forest and Conservation Technicians,Forest and Conservation Technicians
217,19-4099,19-4099,19-4099.99,19-4099.99,"Life, Physical, and Social Science Technicians, All Other","Life, Physical, and Social Science Technicians, All Other",19-4099,19-4099.99,19-4099.00,"Life, Physical, and Social Science Technicians, All Other","Life, Physical, and Social Science Technicians, All Other",19-4099,19-4099.00 AND 19-4099.01 AND 19-4099.02 AND 19-4099.03,19-4099.00 AND 19-4099.01 AND 19-4099.02 AND 19-4099.03,"Life, Physical, and Social Science Technicians, All Other AND Quality Control Analysts AND Precision Agriculture Technicians AND Remote Sensing Technicians","Life, Physical, and Social Science Technicians, All Other AND Quality Control Analysts AND Precision Agriculture Technicians AND Remote Sensing Technicians",19-4012,19-4099.02,19-4012.01,Precision Agriculture Technicians,Precision Agriculture Technicians
218,19-4099,19-4099,19-4099.99,19-4099.99,"Life, Physical, and Social Science Technicians, All Other","Life, Physical, and Social Science Technicians, All Other",19-4099,19-4099.99,19-4099.00,"Life, Physical, and Social Science Technicians, All Other","Life, Physical, and Social Science Technicians, All Other",19-4099,19-4099.00 AND 19-4099.01 AND 19-4099.02 AND 19-4099.03,19-4099.00 AND 19-4099.01 AND 19-4099.02 AND 19-4099.03,"Life, Physical, and Social Science Technicians, All Other AND Quality Control Analysts AND Precision Agriculture Technicians AND Remote Sensing Technicians","Life, Physical, and Social Science Technicians, All Other AND Quality Control Analysts AND Precision Agriculture Technicians AND Remote Sensing Technicians",19-4044,19-4099.00,19-4044.00,"Life, Physical, and Social Science Technicians, All Other",Hydrologic Technicians
219,19-4099,19-4099,19-4099.99,19-4099.99,"Life, Physical, and Social Science Technicians, All Other","Life, Physical, and Social Science Technicians, All Other",19-4099,19-4099.99,19-4099.00,"Life, Physical, and Social Science Technicians, All Other","Life, Physical, and Social Science Technicians, All Other",19-4099,19-4099.00 AND 19-4099.01 AND 19-4099.02 AND 19-4099.03,19-4099.00 AND 19-4099.01 AND 19-4099.02 AND 19-4099.03,"Life, Physical, and Social Science Technicians, All Other AND Quality Control Analysts AND Precision Agriculture Technicians AND Remote Sensing Technicians","Life, Physical, and Social Science Technicians, All Other AND Quality Control Analysts AND Precision Agriculture Technicians AND Remote Sensing Technicians",19-4099,19-4099.00 AND 19-4099.01 AND 19-4099.03,19-4099.00 AND 19-4099.01 AND 19-4099.03,"Life, Physical, and Social Science Technicians, All Other AND Quality Control Analysts AND Remote Sensing Technicians","Life, Physical, and Social Science Technicians, All Other AND Quality Control Analysts AND Remote Sensing Technicians"
220,21-1011,21-1011,21-1011.00,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,Substance Abuse and Behavioral Disorder Counselors,21-1011,21-1011.00,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,Substance Abuse and Behavioral Disorder Counselors,21-1011,21-1011.00,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,Substance Abuse and Behavioral Disorder Counselors,21-1011,21-1011.00,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,Substance Abuse and Behavioral Disorder Counselors
221,21-1012,21-1012,21-1012.00,21-1012.00,"Educational, Vocational, and School Counselors","Educational, Vocational, and School Counselors",21-1012,21-1012.00,21-1012.00,"Educational, Vocational, and School Counselors","Educational, Vocational, and School Counselors",21-1012,21-1012.00,21-1012.00,"Educational, Vocational, and School Counselors","Educational, Guidance, School, and Vocational Counselors",21-1012,21-1012.00,21-1012.00,"Educational, Guidance, School, and Vocational Counselors","Educational, Guidance, and Career Counselors and Advisors"
222,21-1013,21-1013,21-1013.00,21-1013.00,Marriage and Family Therapists,Marriage and Family Therapists,21-1013,21-1013.00,21-1013.00,Marriage and Family Therapists,Marriage and Family Therapists,21-1013,21-1013.00,21-1013.00,Marriage and Family Therapists,Marriage and Family Therapists,21-1013,21-1013.00,21-1013.00,Marriage and Family Therapists,Marriage and Family Therapists
223,21-1014,21-1014,21-1014.00,21-1014.00,Mental Health Counselors,Mental Health Counselors,21-1014,21-1014.00,21-1014.00,Mental Health Counselors,Mental Health Counselors,21-1014,21-1014.00,21-1014.00,Mental Health Counselors,Mental Health Counselors,21-1014,21-1014.00,21-1014.00,Mental Health Counselors,Mental Health Counselors
224,21-1015,21-1015,21-1015.00,21-1015.00,Rehabilitation Counselors,Rehabilitation Counselors,21-1015,21-1015.00,21-1015.00,Rehabilitation Counselors,Rehabilitation Counselors,21-1015,21-1015.00,21-1015.00,Rehabilitation Counselors,Rehabilitation Counselors,21-1015,21-1015.00,21-1015.00,Rehabilitation Counselors,Rehabilitation Counselors
225,21-1019,21-1019,21-1019.99,21-1019.99,"Counselors, All Other","Counselors, All Other",21-1019,21-1019.99,21-1019.00,"Counselors, All Other","Counselors, All Other",21-1019,21-1019.00,21-1019.00,"Counselors, All Other","Counselors, All Other",21-1019,21-1019.00,21-1019.00,"Counselors, All Other","Counselors, All Other"
226,21-1021,21-1021,21-1021.00,21-1021.00,"Child, Family, and School Social Workers","Child, Family, and School Social Workers",21-1021,21-1021.00,21-1021.00,"Child, Family, and School Social Workers","Child, Family, and School Social Workers",21-1021,21-1021.00,21-1021.00,"Child, Family, and School Social Workers","Child, Family, and School Social Workers",21-1021,21-1021.00,21-1021.00,"Child, Family, and School Social Workers","Child, Family, and School Social Workers"
227,21-1022,21-1022,21-1022.00,21-1022.00,Medical and Public Health Social Workers,Medical and Public Health Social Workers,21-1022,21-1022.00,21-1022.00,Medical and Public Health Social Workers,Medical and Public Health Social Workers,21-1022,21-1022.00,21-1022.00,Medical and Public Health Social Workers,Healthcare Social Workers,21-1022,21-1022.00,21-1022.00,Healthcare Social Workers,Healthcare Social Workers
228,21-1023,21-1023,21-1023.00,21-1023.00,Mental Health and Substance Abuse Social Workers,Mental Health and Substance Abuse Social Workers,21-1023,21-1023.00,21-1023.00,Mental Health and Substance Abuse Social Workers,Mental Health and Substance Abuse Social Workers,21-1023,21-1023.00,21-1023.00,Mental Health and Substance Abuse Social Workers,Mental Health and Substance Abuse Social Workers,21-1023,21-1023.00,21-1023.00,Mental Health and Substance Abuse Social Workers,Mental Health and Substance Abuse Social Workers
229,21-1029,21-1029,21-1029.99,21-1029.99,"Social Workers, All Other","Social Workers, All Other",21-1029,21-1029.99,21-1029.00,"Social Workers, All Other","Social Workers, All Other",21-1029,21-1029.00,21-1029.00,"Social Workers, All Other","Social Workers, All Other",21-1029,21-1029.00,21-1029.00,"Social Workers, All Other","Social Workers, All Other"
230,21-1091,21-1091,21-1091.00,21-1091.00,Health Educators,Health Educators,21-1091,21-1091.00,21-1091.00,Health Educators,Health Educators,21-1091,21-1091.00,21-1091.00,Health Educators,Health Educators,21-1091,21-1091.00,21-1091.00,Health Educators,Health Education Specialists
231,21-1092,21-1092,21-1092.00,21-1092.00,Probation Officers and Correctional Treatment Specialists,Probation Officers and Correctional Treatment Specialists,21-1092,21-1092.00,21-1092.00,Probation Officers and Correctional Treatment Specialists,Probation Officers and Correctional Treatment Specialists,21-1092,21-1092.00,21-1092.00,Probation Officers and Correctional Treatment Specialists,Probation Officers and Correctional Treatment Specialists,21-1092,21-1092.00,21-1092.00,Probation Officers and Correctional Treatment Specialists,Probation Officers and Correctional Treatment Specialists
232,21-1093,21-1093,21-1093.00,21-1093.00,Social and Human Service Assistants,Social and Human Service Assistants,21-1093,21-1093.00,21-1093.00,Social and Human Service Assistants,Social and Human Service Assistants,21-1093,21-1093.00,21-1093.00,Social and Human Service Assistants,Social and Human Service Assistants,21-1093,21-1093.00,21-1093.00,Social and Human Service Assistants,Social and Human Service Assistants
233,21-1099,21-1099,21-1099.99,21-1099.99,"Community and Social Service Specialists, All Other","Community and Social Service Specialists, All Other",21-1099,21-1099.99,21-1099.00,"Community and Social Service Specialists, All Other","Community and Social Service Specialists, All Other",21-1099,21-1099.00,21-1099.00,"Community and Social Service Specialists, All Other","Community and Social Service Specialists, All Other",21-1099,21-1099.00,21-1099.00,"Community and Social Service Specialists, All Other","Community and Social Service Specialists, All Other"
234,21-2011,21-2011,21-2011.00,21-2011.00,Clergy,Clergy,21-2011,21-2011.00,21-2011.00,Clergy,Clergy,21-2011,21-2011.00,21-2011.00,Clergy,Clergy,21-2011,21-2011.00,21-2011.00,Clergy,Clergy
235,21-2021,21-2021,21-2021.00,21-2021.00,"Directors, Religious Activities and Education","Directors, Religious Activities and Education",21-2021,21-2021.00,21-2021.00,"Directors, Religious Activities and Education","Directors, Religious Activities and Education",21-2021,21-2021.00,21-2021.00,"Directors, Religious Activities and Education","Directors, Religious Activities and Education",21-2021,21-2021.00,21-2021.00,"Directors, Religious Activities and Education","Directors, Religious Activities and Education"
236,21-2099,21-2099,21-2099.99,21-2099.99,"Religious Workers, All Other","Religious Workers, All Other",21-2099,21-2099.99,21-2099.00,"Religious Workers, All Other","Religious Workers, All Other",21-2099,21-2099.00,21-2099.00,"Religious Workers, All Other","Religious Workers, All Other",21-2099,21-2099.00,21-2099.00,"Religious Workers, All Other","Religious Workers, All Other"
237,23-1011,23-1011,23-1011.00,23-1011.00,Lawyers,Lawyers,23-1011,23-1011.00,23-1011.00,Lawyers,Lawyers,23-1011,23-1011.00,23-1011.00,Lawyers,Lawyers,23-1011,23-1011.00,23-1011.00,Lawyers,Lawyers
238,23-1021,23-1021,23-1021.00,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers","Administrative Law Judges, Adjudicators, and Hearing Officers",23-1021,23-1021.00,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers","Administrative Law Judges, Adjudicators, and Hearing Officers",23-1021,23-1021.00,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers","Administrative Law Judges, Adjudicators, and Hearing Officers",23-1021,23-1021.00,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers","Administrative Law Judges, Adjudicators, and Hearing Officers"
239,23-1022,23-1022,23-1022.00,23-1022.00,"Arbitrators, Mediators, and Conciliators","Arbitrators, Mediators, and Conciliators",23-1022,23-1022.00,23-1022.00,"Arbitrators, Mediators, and Conciliators","Arbitrators, Mediators, and Conciliators",23-1022,23-1022.00,23-1022.00,"Arbitrators, Mediators, and Conciliators","Arbitrators, Mediators, and Conciliators",23-1022,23-1022.00,23-1022.00,"Arbitrators, Mediators, and Conciliators","Arbitrators, Mediators, and Conciliators"
240,23-1023,23-1023,23-1023.00,23-1023.00,"Judges, Magistrate Judges, and Magistrates","Judges, Magistrate Judges, and Magistrates",23-1023,23-1023.00,23-1023.00,"Judges, Magistrate Judges, and Magistrates","Judges, Magistrate Judges, and Magistrates",23-1023,23-1023.00,23-1023.00,"Judges, Magistrate Judges, and Magistrates","Judges, Magistrate Judges, and Magistrates",23-1023,23-1023.00,23-1023.00,"Judges, Magistrate Judges, and Magistrates","Judges, Magistrate Judges, and Magistrates"
241,23-2011,23-2011,23-2011.00,23-2011.00,Paralegals and Legal Assistants,Paralegals and Legal Assistants,23-2011,23-2011.00,23-2011.00,Paralegals and Legal Assistants,Paralegals and Legal Assistants,23-2011,23-2011.00,23-2011.00,Paralegals and Legal Assistants,Paralegals and Legal Assistants,23-2011,23-2011.00,23-2011.00,Paralegals and Legal Assistants,Paralegals and Legal Assistants
242,23-2092,23-2092,23-2092.00,23-2092.00,Law Clerks,Law Clerks,23-2092,23-2092.00,23-2092.00,Law Clerks,Law Clerks,23-2011,23-2092.00,23-2011.00,Law Clerks,Paralegals and Legal Assistants,23-2011,23-2011.00,23-2011.00,Paralegals and Legal Assistants,Paralegals and Legal Assistants
243,23-2091,23-2091,23-2091.00,23-2091.00,Court Reporters,Court Reporters,23-2091,23-2091.00,23-2091.00,Court Reporters,Court Reporters,23-2091,23-2091.00,23-2091.00,Court Reporters,Court Reporters,27-3092,23-2091.00,27-3092.00,Court Reporters,Court Reporters and Simultaneous Captioners
244,27-3043,23-2091,27-3043.03,23-2091.00,Caption Writers,Court Reporters,23-2091,23-2091.00,23-2091.00,Court Reporters,Court Reporters,23-2091,23-2091.00,23-2091.00,Court Reporters,Court Reporters,27-3092,23-2091.00,27-3092.00,Court Reporters,Court Reporters and Simultaneous Captioners
245,23-2092,23-2092,23-2092.00,23-2092.00,Law Clerks,Law Clerks,23-2092,23-2092.00,23-2092.00,Law Clerks,Law Clerks,23-1012,23-2092.00,23-1012.00,Law Clerks,Judicial Law Clerks,23-1012,23-1012.00,23-1012.00,Judicial Law Clerks,Judicial Law Clerks
246,23-2093,23-2093,23-2093.00 AND 23-2093.01 AND 23-2093.02,23-2093.00,"Title Examiners, Abstractors, and Searchers AND Title Searchers AND Title Examiners and Abstractors","Title Examiners, Abstractors, and Searchers",23-2093,23-2093.00,23-2093.00,"Title Examiners, Abstractors, and Searchers","Title Examiners, Abstractors, and Searchers",23-2093,23-2093.00,23-2093.00,"Title Examiners, Abstractors, and Searchers","Title Examiners, Abstractors, and Searchers",23-2093,23-2093.00,23-2093.00,"Title Examiners, Abstractors, and Searchers","Title Examiners, Abstractors, and Searchers"
247,23-2099,23-2099,23-2099.99,23-2099.99,"Legal Support Workers, All Other","Legal Support Workers, All Other",23-2099,23-2099.99,23-2099.00,"Legal Support Workers, All Other","Legal Support Workers, All Other",23-2099,23-2099.00,23-2099.00,"Legal Support Workers, All Other","Legal Support Workers, All Other",23-2099,23-2099.00,23-2099.00,"Legal Support Workers, All Other","Legal Support Workers, All Other"
248,25-1011,25-1011,25-1011.00,25-1011.00,"Business Teachers, Postsecondary","Business Teachers, Postsecondary",25-1011,25-1011.00,25-1011.00,"Business Teachers, Postsecondary","Business Teachers, Postsecondary",25-1011,25-1011.00,25-1011.00,"Business Teachers, Postsecondary","Business Teachers, Postsecondary",25-1011,25-1011.00,25-1011.00,"Business Teachers, Postsecondary","Business Teachers, Postsecondary"
249,25-1021,25-1021,25-1021.00,25-1021.00,"Computer Science Teachers, Postsecondary","Computer Science Teachers, Postsecondary",25-1021,25-1021.00,25-1021.00,"Computer Science Teachers, Postsecondary","Computer Science Teachers, Postsecondary",25-1021,25-1021.00,25-1021.00,"Computer Science Teachers, Postsecondary","Computer Science Teachers, Postsecondary",25-1021,25-1021.00,25-1021.00,"Computer Science Teachers, Postsecondary","Computer Science Teachers, Postsecondary"
250,25-1022,25-1022,25-1022.00,25-1022.00,"Mathematical Science Teachers, Postsecondary","Mathematical Science Teachers, Postsecondary",25-1022,25-1022.00,25-1022.00,"Mathematical Science Teachers, Postsecondary","Mathematical Science Teachers, Postsecondary",25-1022,25-1022.00,25-1022.00,"Mathematical Science Teachers, Postsecondary","Mathematical Science Teachers, Postsecondary",25-1022,25-1022.00,25-1022.00,"Mathematical Science Teachers, Postsecondary","Mathematical Science Teachers, Postsecondary"
251,25-1031,25-1031,25-1031.00,25-1031.00,"Architecture Teachers, Postsecondary","Architecture Teachers, Postsecondary",25-1031,25-1031.00,25-1031.00,"Architecture Teachers, Postsecondary","Architecture Teachers, Postsecondary",25-1031,25-1031.00,25-1031.00,"Architecture Teachers, Postsecondary","Architecture Teachers, Postsecondary",25-1031,25-1031.00,25-1031.00,"Architecture Teachers, Postsecondary","Architecture Teachers, Postsecondary"
252,25-1032,25-1032,25-1032.00,25-1032.00,"Engineering Teachers, Postsecondary","Engineering Teachers, Postsecondary",25-1032,25-1032.00,25-1032.00,"Engineering Teachers, Postsecondary","Engineering Teachers, Postsecondary",25-1032,25-1032.00,25-1032.00,"Engineering Teachers, Postsecondary","Engineering Teachers, Postsecondary",25-1032,25-1032.00,25-1032.00,"Engineering Teachers, Postsecondary","Engineering Teachers, Postsecondary"
253,25-1041,25-1041,25-1041.00,25-1041.00,"Agricultural Sciences Teachers, Postsecondary","Agricultural Sciences Teachers, Postsecondary",25-1041,25-1041.00,25-1041.00,"Agricultural Sciences Teachers, Postsecondary","Agricultural Sciences Teachers, Postsecondary",25-1041,25-1041.00,25-1041.00,"Agricultural Sciences Teachers, Postsecondary","Agricultural Sciences Teachers, Postsecondary",25-1041,25-1041.00,25-1041.00,"Agricultural Sciences Teachers, Postsecondary","Agricultural Sciences Teachers, Postsecondary"
254,25-1042,25-1042,25-1042.00,25-1042.00,"Biological Science Teachers, Postsecondary","Biological Science Teachers, Postsecondary",25-1042,25-1042.00,25-1042.00,"Biological Science Teachers, Postsecondary","Biological Science Teachers, Postsecondary",25-1042,25-1042.00,25-1042.00,"Biological Science Teachers, Postsecondary","Biological Science Teachers, Postsecondary",25-1042,25-1042.00,25-1042.00,"Biological Science Teachers, Postsecondary","Biological Science Teachers, Postsecondary"
255,25-1043,25-1043,25-1043.00,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary","Forestry and Conservation Science Teachers, Postsecondary",25-1043,25-1043.00,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary","Forestry and Conservation Science Teachers, Postsecondary",25-1043,25-1043.00,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary","Forestry and Conservation Science Teachers, Postsecondary",25-1043,25-1043.00,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary","Forestry and Conservation Science Teachers, Postsecondary"
256,25-1051,25-1051,25-1051.00,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25-1051,25-1051.00,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25-1051,25-1051.00,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25-1051,25-1051.00,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
257,25-1052,25-1052,25-1052.00,25-1052.00,"Chemistry Teachers, Postsecondary","Chemistry Teachers, Postsecondary",25-1052,25-1052.00,25-1052.00,"Chemistry Teachers, Postsecondary","Chemistry Teachers, Postsecondary",25-1052,25-1052.00,25-1052.00,"Chemistry Teachers, Postsecondary","Chemistry Teachers, Postsecondary",25-1052,25-1052.00,25-1052.00,"Chemistry Teachers, Postsecondary","Chemistry Teachers, Postsecondary"
258,25-1053,25-1053,25-1053.00,25-1053.00,"Environmental Science Teachers, Postsecondary","Environmental Science Teachers, Postsecondary",25-1053,25-1053.00,25-1053.00,"Environmental Science Teachers, Postsecondary","Environmental Science Teachers, Postsecondary",25-1053,25-1053.00,25-1053.00,"Environmental Science Teachers, Postsecondary","Environmental Science Teachers, Postsecondary",25-1053,25-1053.00,25-1053.00,"Environmental Science Teachers, Postsecondary","Environmental Science Teachers, Postsecondary"
259,25-1054,25-1054,25-1054.00,25-1054.00,"Physics Teachers, Postsecondary","Physics Teachers, Postsecondary",25-1054,25-1054.00,25-1054.00,"Physics Teachers, Postsecondary","Physics Teachers, Postsecondary",25-1054,25-1054.00,25-1054.00,"Physics Teachers, Postsecondary","Physics Teachers, Postsecondary",25-1054,25-1054.00,25-1054.00,"Physics Teachers, Postsecondary","Physics Teachers, Postsecondary"
260,25-1061,25-1061,25-1061.00,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary","Anthropology and Archeology Teachers, Postsecondary",25-1061,25-1061.00,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary","Anthropology and Archeology Teachers, Postsecondary",25-1061,25-1061.00,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary","Anthropology and Archeology Teachers, Postsecondary",25-1061,25-1061.00,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary","Anthropology and Archeology Teachers, Postsecondary"
261,25-1062,25-1062,25-1062.00,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-1062,25-1062.00,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-1062,25-1062.00,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-1062,25-1062.00,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
262,25-1063,25-1063,25-1063.00,25-1063.00,"Economics Teachers, Postsecondary","Economics Teachers, Postsecondary",25-1063,25-1063.00,25-1063.00,"Economics Teachers, Postsecondary","Economics Teachers, Postsecondary",25-1063,25-1063.00,25-1063.00,"Economics Teachers, Postsecondary","Economics Teachers, Postsecondary",25-1063,25-1063.00,25-1063.00,"Economics Teachers, Postsecondary","Economics Teachers, Postsecondary"
263,25-1064,25-1064,25-1064.00,25-1064.00,"Geography Teachers, Postsecondary","Geography Teachers, Postsecondary",25-1064,25-1064.00,25-1064.00,"Geography Teachers, Postsecondary","Geography Teachers, Postsecondary",25-1064,25-1064.00,25-1064.00,"Geography Teachers, Postsecondary","Geography Teachers, Postsecondary",25-1064,25-1064.00,25-1064.00,"Geography Teachers, Postsecondary","Geography Teachers, Postsecondary"
264,25-1065,25-1065,25-1065.00,25-1065.00,"Political Science Teachers, Postsecondary","Political Science Teachers, Postsecondary",25-1065,25-1065.00,25-1065.00,"Political Science Teachers, Postsecondary","Political Science Teachers, Postsecondary",25-1065,25-1065.00,25-1065.00,"Political Science Teachers, Postsecondary","Political Science Teachers, Postsecondary",25-1065,25-1065.00,25-1065.00,"Political Science Teachers, Postsecondary","Political Science Teachers, Postsecondary"
265,25-1066,25-1066,25-1066.00,25-1066.00,"Psychology Teachers, Postsecondary","Psychology Teachers, Postsecondary",25-1066,25-1066.00,25-1066.00,"Psychology Teachers, Postsecondary","Psychology Teachers, Postsecondary",25-1066,25-1066.00,25-1066.00,"Psychology Teachers, Postsecondary","Psychology Teachers, Postsecondary",25-1066,25-1066.00,25-1066.00,"Psychology Teachers, Postsecondary","Psychology Teachers, Postsecondary"
266,25-1067,25-1067,25-1067.00,25-1067.00,"Sociology Teachers, Postsecondary","Sociology Teachers, Postsecondary",25-1067,25-1067.00,25-1067.00,"Sociology Teachers, Postsecondary","Sociology Teachers, Postsecondary",25-1067,25-1067.00,25-1067.00,"Sociology Teachers, Postsecondary","Sociology Teachers, Postsecondary",25-1067,25-1067.00,25-1067.00,"Sociology Teachers, Postsecondary","Sociology Teachers, Postsecondary"
267,25-1069,25-1069,25-1069.99,25-1069.99,"Social Sciences Teachers, Postsecondary, All Other","Social Sciences Teachers, Postsecondary, All Other",25-1069,25-1069.99,25-1069.00,"Social Sciences Teachers, Postsecondary, All Other","Social Sciences Teachers, Postsecondary, All Other",25-1069,25-1069.00,25-1069.00,"Social Sciences Teachers, Postsecondary, All Other","Social Sciences Teachers, Postsecondary, All Other",25-1069,25-1069.00,25-1069.00,"Social Sciences Teachers, Postsecondary, All Other","Social Sciences Teachers, Postsecondary, All Other"
268,25-1071,25-1071,25-1071.00,25-1071.00,"Health Specialties Teachers, Postsecondary","Health Specialties Teachers, Postsecondary",25-1071,25-1071.00,25-1071.00,"Health Specialties Teachers, Postsecondary","Health Specialties Teachers, Postsecondary",25-1071,25-1071.00,25-1071.00,"Health Specialties Teachers, Postsecondary","Health Specialties Teachers, Postsecondary",25-1071,25-1071.00,25-1071.00,"Health Specialties Teachers, Postsecondary","Health Specialties Teachers, Postsecondary"
269,25-1072,25-1072,25-1072.00,25-1072.00,"Nursing Instructors and Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",25-1072,25-1072.00,25-1072.00,"Nursing Instructors and Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",25-1072,25-1072.00,25-1072.00,"Nursing Instructors and Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",25-1072,25-1072.00,25-1072.00,"Nursing Instructors and Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary"
270,25-1081,25-1081,25-1081.00,25-1081.00,"Education Teachers, Postsecondary","Education Teachers, Postsecondary",25-1081,25-1081.00,25-1081.00,"Education Teachers, Postsecondary","Education Teachers, Postsecondary",25-1081,25-1081.00,25-1081.00,"Education Teachers, Postsecondary","Education Teachers, Postsecondary",25-1081,25-1081.00,25-1081.00,"Education Teachers, Postsecondary","Education Teachers, Postsecondary"
