,O*NET-SOC 2000 Code,O*NET-SOC 2000 Title,O*NET-SOC 2006 Code,O*NET-SOC 2006 Title_x,O*NET-SOC 2006 Title_y,O*NET-SOC 2009 Code,O*NET-SOC 2009 Title_x,O*NET-SOC 2009 Title_y,O*NET-SOC 2010 Code,O*NET-SOC 2010 Title
388,29-1064.00,Obstetricians and Gynecologists,29-1064.00,Obstetricians and Gynecologists,Obstetricians and Gynecologists,29-1064.00,Obstetricians and Gynecologists,Obstetricians and Gynecologists,29-1064.00,Obstetricians and Gynecologists
389,29-1065.00,"Pediatricians, General",29-1065.00,"Pediatricians, General","Pediatricians, General",29-1065.00,"Pediatricians, General","Pediatricians, General",29-1065.00,"Pediatricians, General"
390,29-1066.00,Psychiatrists,29-1066.00,Psychiatrists,Psychiatrists,29-1066.00,Psychiatrists,Psychiatrists,29-1066.00,Psychiatrists
391,29-1067.00,Surgeons,29-1067.00,Surgeons,Surgeons,29-1067.00,Surgeons,Surgeons,29-1067.00,Surgeons
392,29-1069.99,"Physicians and Surgeons, All Other",29-1069.99,"Physicians and Surgeons, All Other","Physicians and Surgeons, All Other",29-1069.00,"Physicians and Surgeons, All Other","Physicians and Surgeons, All Other",29-1069.00,"Physicians and Surgeons, All Other"
393,29-1071.00,Physician Assistants,29-1071.00,Physician Assistants,Physician Assistants,29-1071.00,Physician Assistants,Physician Assistants,29-1071.00,Physician Assistants
394,29-1081.00,Podiatrists,29-1081.00,Podiatrists,Podiatrists,29-1081.00,Podiatrists,Podiatrists,29-1081.00,Podiatrists
395,29-1111.00,Registered Nurses,29-1111.00,Registered Nurses,Registered Nurses,29-1111.00,Registered Nurses,Registered Nurses,29-1141.00,Registered Nurses
396,29-1121.00,Audiologists,29-1121.00,Audiologists,Audiologists,29-1121.00,Audiologists,Audiologists,29-1181.00,Audiologists
397,29-1122.00,Occupational Therapists,29-1122.00,Occupational Therapists,Occupational Therapists,29-1122.00,Occupational Therapists,Occupational Therapists,29-1122.00,Occupational Therapists
398,29-1123.00,Physical Therapists,29-1123.00,Physical Therapists,Physical Therapists,29-1123.00,Physical Therapists,Physical Therapists,29-1123.00,Physical Therapists
399,29-1124.00,Radiation Therapists,29-1124.00,Radiation Therapists,Radiation Therapists,29-1124.00,Radiation Therapists,Radiation Therapists,29-1124.00,Radiation Therapists
400,29-1125.00,Recreational Therapists,29-1125.00,Recreational Therapists,Recreational Therapists,29-1125.00,Recreational Therapists,Recreational Therapists,29-1125.00,Recreational Therapists
401,29-1126.00,Respiratory Therapists,29-1126.00,Respiratory Therapists,Respiratory Therapists,29-1126.00,Respiratory Therapists,Respiratory Therapists,29-1126.00,Respiratory Therapists
402,29-1127.00,Speech-Language Pathologists,29-1127.00,Speech-Language Pathologists,Speech-Language Pathologists,29-1127.00,Speech-Language Pathologists,Speech-Language Pathologists,29-1127.00,Speech-Language Pathologists
403,29-1129.99,"Therapists, All Other",29-1129.99,"Therapists, All Other","Therapists, All Other",29-1129.00,"Therapists, All Other","Therapists, All Other",29-1129.00,"Therapists, All Other"
404,29-1131.00,Veterinarians,29-1131.00,Veterinarians,Veterinarians,29-1131.00,Veterinarians,Veterinarians,29-1131.00,Veterinarians
405,29-1199.99,"Health Diagnosing and Treating Practitioners, All Other",29-1199.99,"Health Diagnosing and Treating Practitioners, All Other","Health Diagnosing and Treating Practitioners, All Other",29-1199.00,"Health Diagnosing and Treating Practitioners, All Other","Health Diagnosing and Treating Practitioners, All Other",29-1199.00,"Health Diagnosing and Treating Practitioners, All Other"
406,29-2011.00,Medical and Clinical Laboratory Technologists,29-2011.00,Medical and Clinical Laboratory Technologists,Medical and Clinical Laboratory Technologists,29-2011.00,Medical and Clinical Laboratory Technologists,Medical and Clinical Laboratory Technologists,29-2011.00,Medical and Clinical Laboratory Technologists
407,29-2012.00,Medical and Clinical Laboratory Technicians,29-2012.00,Medical and Clinical Laboratory Technicians,Medical and Clinical Laboratory Technicians,29-2012.00,Medical and Clinical Laboratory Technicians,Medical and Clinical Laboratory Technicians,29-2012.00,Medical and Clinical Laboratory Technicians
408,29-2021.00,Dental Hygienists,29-2021.00,Dental Hygienists,Dental Hygienists,29-2021.00,Dental Hygienists,Dental Hygienists,29-2021.00,Dental Hygienists
409,29-2031.00,Cardiovascular Technologists and Technicians,29-2031.00,Cardiovascular Technologists and Technicians,Cardiovascular Technologists and Technicians,29-2031.00,Cardiovascular Technologists and Technicians,Cardiovascular Technologists and Technicians,29-2031.00,Cardiovascular Technologists and Technicians
410,29-2032.00,Diagnostic Medical Sonographers,29-2032.00,Diagnostic Medical Sonographers,Diagnostic Medical Sonographers,29-2032.00,Diagnostic Medical Sonographers,Diagnostic Medical Sonographers,29-2032.00,Diagnostic Medical Sonographers
411,29-2033.00,Nuclear Medicine Technologists,29-2033.00,Nuclear Medicine Technologists,Nuclear Medicine Technologists,29-2033.00,Nuclear Medicine Technologists,Nuclear Medicine Technologists,29-2033.00,Nuclear Medicine Technologists
412,29-2034.00,Radiologic Technologists and Technicians,29-2034.00,Radiologic Technologists and Technicians,Radiologic Technologists and Technicians,29-2034.00,Radiologic Technologists and Technicians,Radiologic Technologists and Technicians,29-2034.00,Radiologic Technologists
413,29-2034.00,Radiologic Technologists and Technicians,29-2034.00,Radiologic Technologists and Technicians,Radiologic Technologists and Technicians,29-2034.00,Radiologic Technologists and Technicians,Radiologic Technologists and Technicians,29-2099.06,Radiologic Technicians
414,29-2034.01,Radiologic Technologists,29-2034.01,Radiologic Technologists,Radiologic Technologists,29-2034.01,Radiologic Technologists,Radiologic Technologists,29-2034.00,Radiologic Technologists
415,29-2034.02,Radiologic Technicians,29-2034.02,Radiologic Technicians,Radiologic Technicians,29-2034.02,Radiologic Technicians,Radiologic Technicians,29-2099.06,Radiologic Technicians
416,29-2041.00,Emergency Medical Technicians and Paramedics,29-2041.00,Emergency Medical Technicians and Paramedics,Emergency Medical Technicians and Paramedics,29-2041.00,Emergency Medical Technicians and Paramedics,Emergency Medical Technicians and Paramedics,29-2041.00,Emergency Medical Technicians and Paramedics
417,29-2051.00,Dietetic Technicians,29-2051.00,Dietetic Technicians,Dietetic Technicians,29-2051.00,Dietetic Technicians,Dietetic Technicians,29-2051.00,Dietetic Technicians
418,29-2052.00,Pharmacy Technicians,29-2052.00,Pharmacy Technicians,Pharmacy Technicians,29-2052.00,Pharmacy Technicians,Pharmacy Technicians,29-2052.00,Pharmacy Technicians
419,29-2053.00,Psychiatric Technicians,29-2053.00,Psychiatric Technicians,Psychiatric Technicians,29-2053.00,Psychiatric Technicians,Psychiatric Technicians,29-2053.00,Psychiatric Technicians
420,29-2054.00,Respiratory Therapy Technicians,29-2054.00,Respiratory Therapy Technicians,Respiratory Therapy Technicians,29-2054.00,Respiratory Therapy Technicians,Respiratory Therapy Technicians,29-2054.00,Respiratory Therapy Technicians
421,29-2055.00,Surgical Technologists,29-2055.00,Surgical Technologists,Surgical Technologists,29-2055.00,Surgical Technologists,Surgical Technologists,29-2055.00,Surgical Technologists
422,29-2056.00,Veterinary Technologists and Technicians,29-2056.00,Veterinary Technologists and Technicians,Veterinary Technologists and Technicians,29-2056.00,Veterinary Technologists and Technicians,Veterinary Technologists and Technicians,29-2056.00,Veterinary Technologists and Technicians
423,29-2061.00,Licensed Practical and Licensed Vocational Nurses,29-2061.00,Licensed Practical and Licensed Vocational Nurses,Licensed Practical and Licensed Vocational Nurses,29-2061.00,Licensed Practical and Licensed Vocational Nurses,Licensed Practical and Licensed Vocational Nurses,29-2061.00,Licensed Practical and Licensed Vocational Nurses
424,29-2071.00,Medical Records and Health Information Technicians,29-2071.00,Medical Records and Health Information Technicians,Medical Records and Health Information Technicians,29-2071.00,Medical Records and Health Information Technicians,Medical Records and Health Information Technicians,29-2071.00,Medical Records and Health Information Technicians
425,29-2081.00,"Opticians, Dispensing",29-2081.00,"Opticians, Dispensing","Opticians, Dispensing",29-2081.00,"Opticians, Dispensing","Opticians, Dispensing",29-2081.00,"Opticians, Dispensing"
426,29-2091.00,Orthotists and Prosthetists,29-2091.00,Orthotists and Prosthetists,Orthotists and Prosthetists,29-2091.00,Orthotists and Prosthetists,Orthotists and Prosthetists,29-2091.00,Orthotists and Prosthetists
427,29-2099.99,"Health Technologists and Technicians, All Other",29-2099.99,"Health Technologists and Technicians, All Other","Health Technologists and Technicians, All Other",29-2099.00,"Health Technologists and Technicians, All Other","Health Technologists and Technicians, All Other",29-2099.00,"Health Technologists and Technicians, All Other"
428,29-9011.00,Occupational Health and Safety Specialists,29-9011.00,Occupational Health and Safety Specialists,Occupational Health and Safety Specialists,29-9011.00,Occupational Health and Safety Specialists,Occupational Health and Safety Specialists,29-9011.00,Occupational Health and Safety Specialists
429,29-9012.00,Occupational Health and Safety Technicians,29-9012.00,Occupational Health and Safety Technicians,Occupational Health and Safety Technicians,29-9012.00,Occupational Health and Safety Technicians,Occupational Health and Safety Technicians,29-9012.00,Occupational Health and Safety Technicians
430,29-9091.00,Athletic Trainers,29-9091.00,Athletic Trainers,Athletic Trainers,29-9091.00,Athletic Trainers,Athletic Trainers,29-9091.00,Athletic Trainers
431,29-9099.99,"Healthcare Practitioners and Technical Workers, All Other",29-9099.99,"Healthcare Practitioners and Technical Workers, All Other","Healthcare Practitioners and Technical Workers, All Other",29-9099.00,"Healthcare Practitioners and Technical Workers, All Other","Healthcare Practitioners and Technical Workers, All Other",29-9099.00,"Healthcare Practitioners and Technical Workers, All Other"
432,31-1011.00,Home Health Aides,31-1011.00,Home Health Aides,Home Health Aides,31-1011.00,Home Health Aides,Home Health Aides,31-1011.00,Home Health Aides
433,31-1012.00,"Nursing Aides, Orderlies, and Attendants",31-1012.00,"Nursing Aides, Orderlies, and Attendants","Nursing Aides, Orderlies, and Attendants",31-1012.00,"Nursing Aides, Orderlies, and Attendants","Nursing Aides, Orderlies, and Attendants",31-1014.00,Nursing Assistants
434,31-1012.00,"Nursing Aides, Orderlies, and Attendants",31-1012.00,"Nursing Aides, Orderlies, and Attendants","Nursing Aides, Orderlies, and Attendants",31-1012.00,"Nursing Aides, Orderlies, and Attendants","Nursing Aides, Orderlies, and Attendants",31-1015.00,Orderlies
435,31-1013.00,Psychiatric Aides,31-1013.00,Psychiatric Aides,Psychiatric Aides,31-1013.00,Psychiatric Aides,Psychiatric Aides,31-1013.00,Psychiatric Aides
436,31-2011.00,Occupational Therapist Assistants,31-2011.00,Occupational Therapist Assistants,Occupational Therapist Assistants,31-2011.00,Occupational Therapist Assistants,Occupational Therapist Assistants,31-2011.00,Occupational Therapy Assistants
437,31-2012.00,Occupational Therapist Aides,31-2012.00,Occupational Therapist Aides,Occupational Therapist Aides,31-2012.00,Occupational Therapist Aides,Occupational Therapist Aides,31-2012.00,Occupational Therapy Aides
438,31-2021.00,Physical Therapist Assistants,31-2021.00,Physical Therapist Assistants,Physical Therapist Assistants,31-2021.00,Physical Therapist Assistants,Physical Therapist Assistants,31-2021.00,Physical Therapist Assistants
439,31-2022.00,Physical Therapist Aides,31-2022.00,Physical Therapist Aides,Physical Therapist Aides,31-2022.00,Physical Therapist Aides,Physical Therapist Aides,31-2022.00,Physical Therapist Aides
440,31-9011.00,Massage Therapists,31-9011.00,Massage Therapists,Massage Therapists,31-9011.00,Massage Therapists,Massage Therapists,31-9011.00,Massage Therapists
441,31-9091.00,Dental Assistants,31-9091.00,Dental Assistants,Dental Assistants,31-9091.00,Dental Assistants,Dental Assistants,31-9091.00,Dental Assistants
442,31-9092.00,Medical Assistants,31-9092.00,Medical Assistants,Medical Assistants,31-9092.00,Medical Assistants,Medical Assistants,31-9092.00,Medical Assistants
443,31-9093.00,Medical Equipment Preparers,31-9093.00,Medical Equipment Preparers,Medical Equipment Preparers,31-9093.00,Medical Equipment Preparers,Medical Equipment Preparers,31-9093.00,Medical Equipment Preparers
444,31-9094.00,Medical Transcriptionists,31-9094.00,Medical Transcriptionists,Medical Transcriptionists,31-9094.00,Medical Transcriptionists,Medical Transcriptionists,31-9094.00,Medical Transcriptionists
445,31-9095.00,Pharmacy Aides,31-9095.00,Pharmacy Aides,Pharmacy Aides,31-9095.00,Pharmacy Aides,Pharmacy Aides,31-9095.00,Pharmacy Aides
446,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,Veterinary Assistants and Laboratory Animal Caretakers,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,Veterinary Assistants and Laboratory Animal Caretakers,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
447,31-9099.99,"Healthcare Support Workers, All Other",31-9099.99,"Healthcare Support Workers, All Other","Healthcare Support Workers, All Other",31-9099.00,"Healthcare Support Workers, All Other","Healthcare Support Workers, All Other",31-9099.00,"Healthcare Support Workers, All Other"
448,33-1011.00,First-Line Supervisors/Managers of Correctional Officers,33-1011.00,First-Line Supervisors/Managers of Correctional Officers,First-Line Supervisors/Managers of Correctional Officers,33-1011.00,First-Line Supervisors/Managers of Correctional Officers,First-Line Supervisors/Managers of Correctional Officers,33-1011.00,First-Line Supervisors of Correctional Officers
449,33-1012.00,First-Line Supervisors/Managers of Police and Detectives,33-1012.00,First-Line Supervisors/Managers of Police and Detectives,First-Line Supervisors/Managers of Police and Detectives,33-1012.00,First-Line Supervisors/Managers of Police and Detectives,First-Line Supervisors/Managers of Police and Detectives,33-1012.00,First-Line Supervisors of Police and Detectives
450,33-1021.00,First-Line Supervisors/Managers of Fire Fighting and Prevention Workers,33-1021.00,First-Line Supervisors/Managers of Fire Fighting and Prevention Workers,First-Line Supervisors/Managers of Fire Fighting and Prevention Workers,33-1021.00,First-Line Supervisors/Managers of Fire Fighting and Prevention Workers,First-Line Supervisors/Managers of Fire Fighting and Prevention Workers,33-1021.00,First-Line Supervisors of Fire Fighting and Prevention Workers
451,33-1021.01,Municipal Fire Fighting and Prevention Supervisors,33-1021.01,Municipal Fire Fighting and Prevention Supervisors,Municipal Fire Fighting and Prevention Supervisors,33-1021.01,Municipal Fire Fighting and Prevention Supervisors,Municipal Fire Fighting and Prevention Supervisors,33-1021.01,Municipal Fire Fighting and Prevention Supervisors
452,33-1021.02,Forest Fire Fighting and Prevention Supervisors,33-1021.02,Forest Fire Fighting and Prevention Supervisors,Forest Fire Fighting and Prevention Supervisors,33-1021.02,Forest Fire Fighting and Prevention Supervisors,Forest Fire Fighting and Prevention Supervisors,33-1021.02,Forest Fire Fighting and Prevention Supervisors
453,33-1099.99,"First-Line Supervisors/Managers, Protective Service Workers, All Other",33-1099.99,"First-Line Supervisors/Managers, Protective Service Workers, All Other","First-Line Supervisors/Managers, Protective Service Workers, All Other",33-1099.00,"First-Line Supervisors/Managers, Protective Service Workers, All Other","First-Line Supervisors/Managers, Protective Service Workers, All Other",33-1099.00,"First-Line Supervisors of Protective Service Workers, All Other"
454,33-2011.00,Fire Fighters,33-2011.00,Fire Fighters,Fire Fighters,33-2011.00,Fire Fighters,Fire Fighters,33-2011.00,Firefighters
455,33-2011.01,Municipal Fire Fighters,33-2011.01,Municipal Fire Fighters,Municipal Fire Fighters,33-2011.01,Municipal Fire Fighters,Municipal Fire Fighters,33-2011.01,Municipal Firefighters
456,33-2011.02,Forest Fire Fighters,33-2011.02,Forest Fire Fighters,Forest Fire Fighters,33-2011.02,Forest Fire Fighters,Forest Fire Fighters,33-2011.02,Forest Firefighters
457,33-2021.00,Fire Inspectors and Investigators,33-2021.00,Fire Inspectors and Investigators,Fire Inspectors and Investigators,33-2021.00,Fire Inspectors and Investigators,Fire Inspectors and Investigators,33-2021.00,Fire Inspectors and Investigators
458,33-2021.01,Fire Inspectors,33-2021.01,Fire Inspectors,Fire Inspectors,33-2021.01,Fire Inspectors,Fire Inspectors,33-2021.01,Fire Inspectors
459,33-2021.02,Fire Investigators,33-2021.02,Fire Investigators,Fire Investigators,33-2021.02,Fire Investigators,Fire Investigators,33-2021.02,Fire Investigators
460,33-2022.00,Forest Fire Inspectors and Prevention Specialists,33-2022.00,Forest Fire Inspectors and Prevention Specialists,Forest Fire Inspectors and Prevention Specialists,33-2022.00,Forest Fire Inspectors and Prevention Specialists,Forest Fire Inspectors and Prevention Specialists,33-2022.00,Forest Fire Inspectors and Prevention Specialists
461,33-3011.00,Bailiffs,33-3011.00,Bailiffs,Bailiffs,33-3011.00,Bailiffs,Bailiffs,33-3011.00,Bailiffs
462,33-3012.00,Correctional Officers and Jailers,33-3012.00,Correctional Officers and Jailers,Correctional Officers and Jailers,33-3012.00,Correctional Officers and Jailers,Correctional Officers and Jailers,33-3012.00,Correctional Officers and Jailers
463,33-3021.00,Detectives and Criminal Investigators,33-3021.00,Detectives and Criminal Investigators,Detectives and Criminal Investigators,33-3021.00,Detectives and Criminal Investigators,Detectives and Criminal Investigators,33-3021.00,Detectives and Criminal Investigators
464,33-3021.01,Police Detectives,33-3021.01,Police Detectives,Police Detectives,33-3021.01,Police Detectives,Police Detectives,33-3021.01,Police Detectives
465,33-3021.02,Police Identification and Records Officers,33-3021.02,Police Identification and Records Officers,Police Identification and Records Officers,33-3021.02,Police Identification and Records Officers,Police Identification and Records Officers,33-3021.02,Police Identification and Records Officers
466,33-3021.03,Criminal Investigators and Special Agents,33-3021.03,Criminal Investigators and Special Agents,Criminal Investigators and Special Agents,33-3021.03,Criminal Investigators and Special Agents,Criminal Investigators and Special Agents,33-3021.03,Criminal Investigators and Special Agents
467,33-3021.04,"Child Support, Missing Persons, and Unemployment Insurance Fraud Investigators",33-3021.03,Criminal Investigators and Special Agents,Criminal Investigators and Special Agents,33-3021.03,Criminal Investigators and Special Agents,Criminal Investigators and Special Agents,33-3021.03,Criminal Investigators and Special Agents
468,33-3021.05,Immigration and Customs Inspectors,33-3021.05,Immigration and Customs Inspectors,Immigration and Customs Inspectors,33-3021.05,Immigration and Customs Inspectors,Immigration and Customs Inspectors,33-3021.05,Immigration and Customs Inspectors
469,33-3031.00,Fish and Game Wardens,33-3031.00,Fish and Game Wardens,Fish and Game Wardens,33-3031.00,Fish and Game Wardens,Fish and Game Wardens,33-3031.00,Fish and Game Wardens
470,33-3041.00,Parking Enforcement Workers,33-3041.00,Parking Enforcement Workers,Parking Enforcement Workers,33-3041.00,Parking Enforcement Workers,Parking Enforcement Workers,33-3041.00,Parking Enforcement Workers
471,33-3051.00,Police and Sheriff's Patrol Officers,33-3051.00,Police and Sheriff's Patrol Officers,Police and Sheriff's Patrol Officers,33-3051.00,Police and Sheriff's Patrol Officers,Police and Sheriff's Patrol Officers,33-3051.00,Police and Sheriff's Patrol Officers
472,33-3051.01,Police Patrol Officers,33-3051.01,Police Patrol Officers,Police Patrol Officers,33-3051.01,Police Patrol Officers,Police Patrol Officers,33-3051.01,Police Patrol Officers
473,33-3051.02,Highway Patrol Pilots,33-3051.01,Police Patrol Officers,Police Patrol Officers,33-3051.01,Police Patrol Officers,Police Patrol Officers,33-3051.01,Police Patrol Officers
474,33-3051.03,Sheriffs and Deputy Sheriffs,33-3051.03,Sheriffs and Deputy Sheriffs,Sheriffs and Deputy Sheriffs,33-3051.03,Sheriffs and Deputy Sheriffs,Sheriffs and Deputy Sheriffs,33-3051.03,Sheriffs and Deputy Sheriffs
475,33-3052.00,Transit and Railroad Police,33-3052.00,Transit and Railroad Police,Transit and Railroad Police,33-3052.00,Transit and Railroad Police,Transit and Railroad Police,33-3052.00,Transit and Railroad Police
476,33-9011.00,Animal Control Workers,33-9011.00,Animal Control Workers,Animal Control Workers,33-9011.00,Animal Control Workers,Animal Control Workers,33-9011.00,Animal Control Workers
477,33-9021.00,Private Detectives and Investigators,33-9021.00,Private Detectives and Investigators,Private Detectives and Investigators,33-9021.00,Private Detectives and Investigators,Private Detectives and Investigators,33-9021.00,Private Detectives and Investigators
478,33-9031.00,Gaming Surveillance Officers and Gaming Investigators,33-9031.00,Gaming Surveillance Officers and Gaming Investigators,Gaming Surveillance Officers and Gaming Investigators,33-9031.00,Gaming Surveillance Officers and Gaming Investigators,Gaming Surveillance Officers and Gaming Investigators,33-9031.00,Gaming Surveillance Officers and Gaming Investigators
479,33-9032.00,Security Guards,33-9032.00,Security Guards,Security Guards,33-9032.00,Security Guards,Security Guards,33-9032.00,Security Guards
480,33-9091.00,Crossing Guards,33-9091.00,Crossing Guards,Crossing Guards,33-9091.00,Crossing Guards,Crossing Guards,33-9091.00,Crossing Guards
481,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
482,33-9099.99,"Protective Service Workers, All Other",33-9099.99,"Protective Service Workers, All Other","Protective Service Workers, All Other",33-9099.00,"Protective Service Workers, All Other","Protective Service Workers, All Other",33-9099.00,"Protective Service Workers, All Other"
483,35-1011.00,Chefs and Head Cooks,35-1011.00,Chefs and Head Cooks,Chefs and Head Cooks,35-1011.00,Chefs and Head Cooks,Chefs and Head Cooks,35-1011.00,Chefs and Head Cooks
484,51-3011.01,"Bakers, Bread and Pastry",35-1011.00,Chefs and Head Cooks,Chefs and Head Cooks,35-1011.00,Chefs and Head Cooks,Chefs and Head Cooks,35-1011.00,Chefs and Head Cooks
485,35-1012.00,First-Line Supervisors/Managers of Food Preparation and Serving Workers,35-1012.00,First-Line Supervisors/Managers of Food Preparation and Serving Workers,First-Line Supervisors/Managers of Food Preparation and Serving Workers,35-1012.00,First-Line Supervisors/Managers of Food Preparation and Serving Workers,First-Line Supervisors/Managers of Food Preparation and Serving Workers,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
486,35-2011.00,"Cooks, Fast Food",35-2011.00,"Cooks, Fast Food","Cooks, Fast Food",35-2011.00,"Cooks, Fast Food","Cooks, Fast Food",35-2011.00,"Cooks, Fast Food"
487,35-2012.00,"Cooks, Institution and Cafeteria",35-2012.00,"Cooks, Institution and Cafeteria","Cooks, Institution and Cafeteria",35-2012.00,"Cooks, Institution and Cafeteria","Cooks, Institution and Cafeteria",35-2012.00,"Cooks, Institution and Cafeteria"
488,35-2013.00,"Cooks, Private Household",35-2013.00,"Cooks, Private Household","Cooks, Private Household",35-2013.00,"Cooks, Private Household","Cooks, Private Household",35-2013.00,"Cooks, Private Household"
489,35-2014.00,"Cooks, Restaurant",35-2014.00,"Cooks, Restaurant","Cooks, Restaurant",35-2014.00,"Cooks, Restaurant","Cooks, Restaurant",35-2014.00,"Cooks, Restaurant"
490,35-2015.00,"Cooks, Short Order",35-2015.00,"Cooks, Short Order","Cooks, Short Order",35-2015.00,"Cooks, Short Order","Cooks, Short Order",35-2015.00,"Cooks, Short Order"
491,35-2019.99,"Cooks, All Other",35-2019.99,"Cooks, All Other","Cooks, All Other",35-2019.00,"Cooks, All Other","Cooks, All Other",35-2019.00,"Cooks, All Other"
492,35-2021.00,Food Preparation Workers,35-2021.00,Food Preparation Workers,Food Preparation Workers,35-2021.00,Food Preparation Workers,Food Preparation Workers,35-2021.00,Food Preparation Workers
493,35-3011.00,Bartenders,35-3011.00,Bartenders,Bartenders,35-3011.00,Bartenders,Bartenders,35-3011.00,Bartenders
494,35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food",35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food","Combined Food Preparation and Serving Workers, Including Fast Food",35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food","Combined Food Preparation and Serving Workers, Including Fast Food",35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food"
495,35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"
496,35-3031.00,Waiters and Waitresses,35-3031.00,Waiters and Waitresses,Waiters and Waitresses,35-3031.00,Waiters and Waitresses,Waiters and Waitresses,35-3031.00,Waiters and Waitresses
497,35-3041.00,"Food Servers, Nonrestaurant",35-3041.00,"Food Servers, Nonrestaurant","Food Servers, Nonrestaurant",35-3041.00,"Food Servers, Nonrestaurant","Food Servers, Nonrestaurant",35-3041.00,"Food Servers, Nonrestaurant"
498,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,Dining Room and Cafeteria Attendants and Bartender Helpers,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,Dining Room and Cafeteria Attendants and Bartender Helpers,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
499,35-9021.00,Dishwashers,35-9021.00,Dishwashers,Dishwashers,35-9021.00,Dishwashers,Dishwashers,35-9021.00,Dishwashers
500,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
501,35-9099.99,"Food Preparation and Serving Related Workers, All Other",35-9099.99,"Food Preparation and Serving Related Workers, All Other","Food Preparation and Serving Related Workers, All Other",35-9099.00,"Food Preparation and Serving Related Workers, All Other","Food Preparation and Serving Related Workers, All Other",35-9099.00,"Food Preparation and Serving Related Workers, All Other"
502,37-1011.00,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,37-1011.00,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,37-1011.00,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
503,37-1011.01,Housekeeping Supervisors,37-1011.00,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,37-1011.00,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
504,37-1011.02,Janitorial Supervisors,37-1011.00,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,37-1011.00,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
505,37-1012.00,"First-Line Supervisors/Managers of Landscaping, Lawn Service, and Groundskeeping Workers",37-1012.00,"First-Line Supervisors/Managers of Landscaping, Lawn Service, and Groundskeeping Workers","First-Line Supervisors/Managers of Landscaping, Lawn Service, and Groundskeeping Workers",37-1012.00,"First-Line Supervisors/Managers of Landscaping, Lawn Service, and Groundskeeping Workers","First-Line Supervisors/Managers of Landscaping, Lawn Service, and Groundskeeping Workers",37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
