onetsoc_code_8dig,onetsoc_title,onetsoc_desc,year,onetsoc_code,socAB
15-1254.00,Web Developers,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.",2019,15-1254,7
15-1255.00,Web and Digital Interface Designers,"Design digital user interfaces or websites. Develop and test layouts, interfaces, functionality, and navigation menus to ensure compatibility and usability across browsers or devices. May use web framework applications as well as client-side code and processes. May evaluate web design following web and accessibility standards, and may analyze web use metrics and optimize websites for marketability and search engine ranking. May design and test interfaces that facilitate the human-computer interaction and maximize the usability of digital devices, websites, and software with a focus on aesthetics and design. May create graphics used in websites and manage website content and links.",2019,15-1255,7
15-1255.01,Video Game Designers,"Design core features of video games. Specify innovative game and role-play mechanics, story lines, and character biographies. Create and maintain design documentation. Guide and collaborate with production staff to produce games as designed.",2019,15-1255,7
15-1299.00,"Computer Occupations, All Other",All computer occupations not listed separately.,2019,15-1299,7
15-1299.01,Web Administrators,"Manage web environment design, deployment, development and maintenance activities. Perform testing and quality assurance of web sites and web applications.",2019,15-1299,7
15-1299.02,Geographic Information Systems Technologists and Technicians,"Assist scientists or related professionals in building, maintaining, modifying, or using geographic information systems (GIS) databases. May also perform some custom application development or provide user support.",2019,15-1299,7
15-1299.03,Document Management Specialists,"Implement and administer enterprise-wide document management systems and related procedures that allow organizations to capture, store, retrieve, share, and destroy electronic records and documents.",2019,15-1299,7
15-1299.04,Penetration Testers,Evaluate network system security by conducting simulated internal and external cyberattacks using adversary tools and techniques. Attempt to breach and exploit critical systems and gain access to sensitive information to assess system security.,2019,15-1299,7
15-1299.05,Information Security Engineers,"Develop and oversee the implementation of information security procedures and policies. Build, maintain and upgrade security technology, such as firewalls, for the safe use of computer networks and the transmission and retrieval of information. Design and implement appropriate security controls to identify vulnerabilities and protect digital files and electronic infrastructures. Monitor and respond to computer security breaches, viruses, and intrusions, and perform forensic investigation. May oversee the assessment of information security systems.",2019,15-1299,7
15-1299.06,Digital Forensics Analysts,"Conduct investigations on computer-based crimes establishing documentary or physical evidence, such as digital media and logs associated with cyber intrusion incidents. Analyze digital evidence and investigate computer security incidents to derive information in support of system and network vulnerability mitigation. Preserve and present computer-related evidence in support of criminal, fraud, counterintelligence, or law enforcement investigations.",2019,15-1299,7
15-1299.07,Blockchain Engineers,"Maintain and support distributed and decentralized blockchain-based networks or block-chain applications such as cryptocurrency exchange, payment processing, document sharing, and digital voting. Design and deploy secure block-chain design patterns and solutions over geographically distributed networks using advanced technologies. May assist with infrastructure setup and testing for application transparency and security.",2019,15-1299,7
15-1299.08,Computer Systems Engineers/Architects,"Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions.",2019,15-1299,7
15-1299.09,Information Technology Project Managers,"Plan, initiate, and manage information technology (IT) projects. Lead and guide the work of technical staff. Serve as liaison between business and technical aspects of projects. Plan project stages and assess business implications for each stage. Monitor progress to assure deadlines, standards, and cost targets are met.",2019,15-1299,7
15-2041.00,Statisticians,"Engage in the development of mathematical theory or apply statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields, such as bio-statistics, agricultural statistics, business statistics, economic statistics, or other fields.",2000,15-2041,7
15-2041.00,Statisticians,"Engage in the development of mathematical theory or apply statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields, such as bio-statistics, agricultural statistics, business statistics, economic statistics, or other fields.",2006,15-2041,7
15-2041.00,Statisticians,"Engage in the development of mathematical theory or apply statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields, such as bio-statistics, agricultural statistics, business statistics, economic statistics, or other fields.",2009,15-2041,7
15-2041.00,Statisticians,"Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields such as bio-statistics, agricultural statistics, business statistics, or economic statistics. Includes mathematical and survey statisticians.",2010,15-2041,7
15-2041.00,Statisticians,"Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields such as biostatistics, agricultural statistics, business statistics, or economic statistics. Includes mathematical and survey statisticians.",2019,15-2041,7
15-2041.01,Biostatisticians,Develop and apply biostatistical theory and methods to the study of life sciences.,2009,15-2041,7
15-2041.01,Biostatisticians,Develop and apply biostatistical theory and methods to the study of life sciences.,2010,15-2041,7
15-2041.01,Biostatisticians,Develop and apply biostatistical theory and methods to the study of life sciences.,2019,15-2041,7
15-2041.02,Clinical Data Managers,"Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.",2009,15-2041,7
15-2041.02,Clinical Data Managers,"Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.",2010,15-2041,7
15-2051.00,Data Scientists,"Develop and implement a set of techniques or analytics applications to transform raw data into meaningful information using data-oriented programming languages and visualization software. Apply data mining, data modeling, natural language processing, and machine learning to extract and analyze information from large structured and unstructured datasets. Visualize, interpret, and report data findings. May create dynamic data reports.",2019,15-2051,7
15-2051.01,Business Intelligence Analysts,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,2019,15-2051,7
15-2051.02,Clinical Data Managers,"Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.",2019,15-2051,7
15-2091.00,Mathematical Technicians,"Apply standardized mathematical formulas, principles, and methodology to technological problems in engineering and physical sciences in relation to specific industrial and research objectives, processes, equipment, and products.",2000,15-2091,7
15-2091.00,Mathematical Technicians,"Apply standardized mathematical formulas, principles, and methodology to technological problems in engineering and physical sciences in relation to specific industrial and research objectives, processes, equipment, and products.",2006,15-2091,7
15-2091.00,Mathematical Technicians,"Apply standardized mathematical formulas, principles, and methodology to technological problems in engineering and physical sciences in relation to specific industrial and research objectives, processes, equipment, and products.",2009,15-2091,7
15-2091.00,Mathematical Technicians,"Apply standardized mathematical formulas, principles, and methodology to technological problems in engineering and physical sciences in relation to specific industrial and research objectives, processes, equipment, and products.",2010,15-2091,7
15-2099.00,"Mathematical Science Occupations, All Other",All mathematical scientists not listed separately.,2009,15-2099,7
15-2099.00,"Mathematical Science Occupations, All Other",All mathematical scientists not listed separately.,2010,15-2099,7
15-2099.00,"Mathematical Science Occupations, All Other",All mathematical scientists not listed separately.,2019,15-2099,7
15-2099.01,Bioinformatics Technicians,"Apply principles and methods of bioinformatics to assist scientists in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. Apply bioinformatics tools to visualize, analyze, manipulate or interpret molecular data. May build and maintain databases for processing and analyzing genomic or other biological information.",2019,15-2099,7
15-2099.99,"Mathematical Science Occupations, All Other",All mathematical scientists not listed separately.,2000,15-2099,7
15-2099.99,"Mathematical Science Occupations, All Other",All mathematical scientists not listed separately.,2006,15-2099,7
19-3021.00,Market Research Analysts,"Research market conditions in local, regional, or national areas to determine potential sales of a product or service. May gather information on competitors, prices, sales, and methods of marketing and distribution. May use survey results to create a marketing campaign based on regional preferences and buying habits.",2000,19-3021,7
19-3021.00,Market Research Analysts,"Research market conditions in local, regional, or national areas to determine potential sales of a product or service. May gather information on competitors, prices, sales, and methods of marketing and distribution. May use survey results to create a marketing campaign based on regional preferences and buying habits.",2006,19-3021,7
19-3021.00,Market Research Analysts,"Research market conditions in local, regional, or national areas to determine potential sales of a product or service. May gather information on competitors, prices, sales, and methods of marketing and distribution. May use survey results to create a marketing campaign based on regional preferences and buying habits.",2009,19-3021,7
39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",Directly supervise and coordinate activities of entertainment and recreation related workers.,2019,39-1014,7
39-1021.00,First-Line Supervisors/Managers of Personal Service Workers,"Supervise and coordinate activities of personal service workers, such as supervisors of flight attendants, hairdressers, or caddies.",2000,39-1021,7
39-1021.00,First-Line Supervisors/Managers of Personal Service Workers,"Supervise and coordinate activities of personal service workers, such as supervisors of flight attendants, hairdressers, or caddies.",2006,39-1021,7
39-1021.00,First-Line Supervisors/Managers of Personal Service Workers,"Supervise and coordinate activities of personal service workers, such as supervisors of flight attendants, hairdressers, or caddies.",2009,39-1021,7
39-1021.00,First-Line Supervisors of Personal Service Workers,"Directly supervise and coordinate activities of personal service workers, such as flight attendants, hairdressers, or caddies.",2010,39-1021,7
39-1021.01,Spa Managers,"Plan, direct, or coordinate activities of a spa facility. Coordinate programs, schedule and direct staff, and oversee financial activities.",2009,39-1021,7
39-1021.01,Spa Managers,"Plan, direct, or coordinate activities of a spa facility. Coordinate programs, schedule and direct staff, and oversee financial activities.",2010,39-1021,7
39-1022.00,First-Line Supervisors of Personal Service Workers,Supervise and coordinate activities of personal service workers.,2019,39-1022,7
43-9011.00,Computer Operators,"Monitor and control electronic computer and peripheral electronic data processing equipment to process business, scientific, engineering, and other data according to operating instructions. May enter commands at a computer terminal and set controls on computer and peripheral devices. Monitor and respond to operating and error messages.",2000,43-9011,7
43-9011.00,Computer Operators,"Monitor and control electronic computer and peripheral electronic data processing equipment to process business, scientific, engineering, and other data according to operating instructions. May enter commands at a computer terminal and set controls on computer and peripheral devices. Monitor and respond to operating and error messages.",2006,43-9011,7
43-9011.00,Computer Operators,"Monitor and control electronic computer and peripheral electronic data processing equipment to process business, scientific, engineering, and other data according to operating instructions. May enter commands at a computer terminal and set controls on computer and peripheral devices. Monitor and respond to operating and error messages.",2009,43-9011,7
43-9011.00,Computer Operators,"Monitor and control electronic computer and peripheral electronic data processing equipment to process business, scientific, engineering, and other data according to operating instructions. Monitor and respond to operating and error messages. May enter commands at a computer terminal and set controls on computer and peripheral devices.",2010,43-9011,7
43-9111.00,Statistical Assistants,Compile and compute data according to statistical formulas for use in statistical studies. May perform actuarial computations and compile charts and graphs for use by actuaries. Includes actuarial clerks.,2000,43-9111,7
43-9111.00,Statistical Assistants,Compile and compute data according to statistical formulas for use in statistical studies. May perform actuarial computations and compile charts and graphs for use by actuaries. Includes actuarial clerks.,2006,43-9111,7
43-9111.00,Statistical Assistants,Compile and compute data according to statistical formulas for use in statistical studies. May perform actuarial computations and compile charts and graphs for use by actuaries. Includes actuarial clerks.,2009,43-9111,7
43-9111.00,Statistical Assistants,Compile and compute data according to statistical formulas for use in statistical studies. May perform actuarial computations and compile charts and graphs for use by actuaries. Includes actuarial clerks.,2010,43-9111,7
43-9111.00,Statistical Assistants,Compile and compute data according to statistical formulas for use in statistical studies. May perform actuarial computations and compile charts and graphs for use by actuaries. Includes actuarial clerks.,2019,43-9111,7
43-9111.01,Bioinformatics Technicians,"Apply principles and methods of bioinformatics to assist scientists in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. Apply bioinformatics tools to visualize, analyze, manipulate or interpret molecular data. May build and maintain databases for processing and analyzing genomic or other biological information.",2009,43-9111,7
43-9111.01,Bioinformatics Technicians,"Apply principles and methods of bioinformatics to assist scientists in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. Apply bioinformatics tools to visualize, analyze, manipulate or interpret molecular data. May build and maintain databases for processing and analyzing genomic or other biological information.",2010,43-9111,7
47-4011.00,Construction and Building Inspectors,"Inspect structures using engineering skills to determine structural soundness and compliance with specifications, building codes, and other regulations. Inspections may be general in nature or may be limited to a specific area, such as electrical systems or plumbing.",2000,47-4011,7
47-4011.00,Construction and Building Inspectors,"Inspect structures using engineering skills to determine structural soundness and compliance with specifications, building codes, and other regulations. Inspections may be general in nature or may be limited to a specific area, such as electrical systems or plumbing.",2006,47-4011,7
47-4011.00,Construction and Building Inspectors,"Inspect structures using engineering skills to determine structural soundness and compliance with specifications, building codes, and other regulations. Inspections may be general in nature or may be limited to a specific area, such as electrical systems or plumbing.",2009,47-4011,7
47-4011.00,Construction and Building Inspectors,"Inspect structures using engineering skills to determine structural soundness and compliance with specifications, building codes, and other regulations. Inspections may be general in nature or may be limited to a specific area, such as electrical systems or plumbing.",2010,47-4011,7
47-4011.00,Construction and Building Inspectors,"Inspect structures using engineering skills to determine structural soundness and compliance with specifications, building codes, and other regulations. Inspections may be general in nature or may be limited to a specific area, such as electrical systems or plumbing.",2019,47-4011,7
47-4011.01,Energy Auditors,"Conduct energy audits of buildings, building systems, or process systems. May also conduct investment grade audits of buildings or systems.",2019,47-4011,7
53-1031.00,First-Line Supervisors/Managers of Transportation and Material-Moving Machine and Vehicle Operators,Directly supervise and coordinate activities of transportation and material-moving machine and vehicle operators and helpers.,2000,53-1031,7
53-1031.00,First-Line Supervisors/Managers of Transportation and Material-Moving Machine and Vehicle Operators,Directly supervise and coordinate activities of transportation and material-moving machine and vehicle operators and helpers.,2006,53-1031,7
53-1031.00,First-Line Supervisors/Managers of Transportation and Material-Moving Machine and Vehicle Operators,Directly supervise and coordinate activities of transportation and material-moving machine and vehicle operators and helpers.,2009,53-1031,7
53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,Directly supervise and coordinate activities of transportation and material-moving machine and vehicle operators and helpers.,2010,53-1031,7
53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,Directly supervise and coordinate activities of material-moving machine and vehicle operators and helpers.,2019,53-1043,7
53-1044.00,First-Line Supervisors of Passenger Attendants,Supervise and coordinate activities of passenger attendants.,2019,53-1044,7
53-1049.00,"First-Line Supervisors of Transportation Workers, All Other",All first-line supervisors of transportation workers not listed separately.,2019,53-1049,7
11-3021.00,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",2000,11-3021,8
11-3021.00,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",2006,11-3021,8
11-3021.00,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",2009,11-3021,8
11-3021.00,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",2010,11-3021,8
11-3021.00,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",2019,11-3021,8
11-3040.00,Human Resources Managers,"Plan, direct, and coordinate human resource management activities of an organization to maximize the strategic use of human resources and maintain functions such as employee compensation, recruitment, personnel policies, and regulatory compliance.",2000,11-3040,9
11-3040.00,Human Resources Managers,"Plan, direct, and coordinate human resource management activities of an organization to maximize the strategic use of human resources and maintain functions such as employee compensation, recruitment, personnel policies, and regulatory compliance.",2006,11-3040,9
11-3040.00,Human Resources Managers,"Plan, direct, and coordinate human resource management activities of an organization to maximize the strategic use of human resources and maintain functions such as employee compensation, recruitment, personnel policies, and regulatory compliance.",2009,11-3040,9
11-3049.00,"Human Resources Managers, All Other",All Human Resources Managers not listed separately.,2009,11-3049,9
11-3049.99,"Human Resources Managers, All Other",All Human Resources Managers not listed separately.,2000,11-3049,9
11-3049.99,"Human Resources Managers, All Other",All Human Resources Managers not listed separately.,2006,11-3049,9
11-3121.00,Human Resources Managers,"Plan, direct, or coordinate human resources activities and staff of an organization.",2010,11-3121,9
11-3121.00,Human Resources Managers,"Plan, direct, or coordinate human resources activities and staff of an organization.",2019,11-3121,9
11-3041.00,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities and staff of an organization.",2000,11-3041,10
11-3041.00,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities and staff of an organization.",2006,11-3041,10
11-3041.00,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities and staff of an organization.",2009,11-3041,10
11-3111.00,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities of an organization.",2010,11-3111,10
11-3111.00,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities of an organization.",2019,11-3111,10
11-3042.00,Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization.",2000,11-3042,11
11-3042.00,Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization.",2006,11-3042,11
11-3042.00,Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization.",2009,11-3042,11
11-3131.00,Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization.",2010,11-3131,11
11-3131.00,Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization.",2019,11-3131,11
11-3051.00,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",2000,11-3051,12
11-3051.00,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",2006,11-3051,12
11-3051.00,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",2009,11-3051,12
11-3051.00,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",2010,11-3051,12
11-3051.00,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",2019,11-3051,12
11-3051.01,Quality Control Systems Managers,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.",2009,11-3051,12
11-3051.01,Quality Control Systems Managers,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.",2010,11-3051,12
11-3051.01,Quality Control Systems Managers,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.",2019,11-3051,12
11-3051.02,Geothermal Production Managers,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,2009,11-3051,12
11-3051.02,Geothermal Production Managers,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,2010,11-3051,12
11-3051.02,Geothermal Production Managers,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,2019,11-3051,12
11-3051.03,Biofuels Production Managers,"Manage operations at biofuels power generation facilities. Collect and process information on plant performance, diagnose problems, and design corrective procedures.",2009,11-3051,12
11-3051.03,Biofuels Production Managers,"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.",2010,11-3051,12
11-3051.03,Biofuels Production Managers,"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.",2019,11-3051,12
11-3051.04,Biomass Production Managers,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.",2009,11-3051,12
11-3051.04,Biomass Power Plant Managers,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.",2010,11-3051,12
11-3051.04,Biomass Power Plant Managers,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.",2019,11-3051,12
11-3051.05,Methane/Landfill Gas Collection System Operators,"Direct daily operations, maintenance, or repair of landfill gas projects, including maintenance of daily logs, determination of service priorities, and compliance with reporting requirements.",2009,11-3051,12
11-3051.05,Methane/Landfill Gas Collection System Operators,"Direct daily operations, maintenance, or repair of landfill gas projects, including maintenance of daily logs, determination of service priorities, and compliance with reporting requirements.",2010,11-3051,12
11-3051.06,Hydroelectric Production Managers,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,2009,11-3051,12
11-3051.06,Hydroelectric Production Managers,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,2010,11-3051,12
11-3051.06,Hydroelectric Production Managers,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,2019,11-3051,12
11-3061.00,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services.",2000,11-3061,13
11-3061.00,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services.",2006,11-3061,13
11-3061.00,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services.",2009,11-3061,13
11-3061.00,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",2010,11-3061,13
11-3061.00,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",2019,11-3061,13
11-9011.00,"Farm, Ranch, and Other Agricultural Managers","On a paid basis, manage farms, ranches, aquacultural operations, greenhouses, nurseries, timber tracts, cotton gins, packing houses, or other agricultural establishments for employers. Carry out production, financial, and marketing decisions relating to the managed operations following guidelines from the owner. May contract tenant farmers or producers to carry out the day-to-day activities of the managed operation. May supervise planting, cultivating, harvesting, and marketing activities. May prepare cost, production, and other records. May perform physical work and operate machinery.",2000,11-9011,14
11-9011.00,"Farm, Ranch, and Other Agricultural Managers","On a paid basis, manage farms, ranches, aquacultural operations, greenhouses, nurseries, timber tracts, cotton gins, packing houses, or other agricultural establishments for employers. Carry out production, financial, and marketing decisions relating to the managed operations following guidelines from the owner. May contract tenant farmers or producers to carry out the day-to-day activities of the managed operation. May supervise planting, cultivating, harvesting, and marketing activities. May prepare cost, production, and other records. May perform physical work and operate machinery.",2006,11-9011,14
11-9011.00,"Farm, Ranch, and Other Agricultural Managers","On a paid basis, manage farms, ranches, aquacultural operations, greenhouses, nurseries, timber tracts, cotton gins, packing houses, or other agricultural establishments for employers. Carry out production, financial, and marketing decisions relating to the managed operations following guidelines from the owner. May contract tenant farmers or producers to carry out the day-to-day activities of the managed operation. May supervise planting, cultivating, harvesting, and marketing activities. May prepare cost, production, and other records. May perform physical work and operate machinery.",2009,11-9011,14
11-9011.01,Nursery and Greenhouse Managers,"Plan, organize, direct, control, and coordinate activities of workers engaged in propagating, cultivating, and harvesting horticultural specialties, such as trees, shrubs, flowers, mushrooms, and other plants.",2000,11-9011,14
11-9011.01,Nursery and Greenhouse Managers,"Plan, organize, direct, control, and coordinate activities of workers engaged in propagating, cultivating, and harvesting horticultural specialties, such as trees, shrubs, flowers, mushrooms, and other plants.",2006,11-9011,14
11-9011.01,Nursery and Greenhouse Managers,"Plan, organize, direct, control, and coordinate activities of workers engaged in propagating, cultivating, and harvesting horticultural specialties, such as trees, shrubs, flowers, mushrooms, and other plants.",2009,11-9011,14
11-9011.02,Agricultural Crop Farm Managers,"Direct and coordinate, through subordinate supervisory personnel, activities of workers engaged in agricultural crop production for corporations, cooperatives, or other owners.",2000,11-9011,14
11-9011.02,Crop and Livestock Managers,"Direct and coordinate, through subordinate supervisory personnel, activities of workers engaged in agricultural crop production for corporations, cooperatives, or other owners.",2006,11-9011,14
11-9011.02,Crop and Livestock Managers,"Direct and coordinate, through subordinate supervisory personnel, activities of workers engaged in agricultural crop production for corporations, cooperatives, or other owners.",2009,11-9011,14
11-9011.03,Fish Hatchery Managers,"Direct and coordinate, through subordinate supervisory personnel, activities of workers engaged in fish hatchery production for corporations, cooperatives, or other owners.",2000,11-9011,14
11-9011.03,Aquacultural Managers,"Direct and coordinate, through subordinate supervisory personnel, activities of workers engaged in fish hatchery production for corporations, cooperatives, or other owners.",2006,11-9011,14
11-9011.03,Aquacultural Managers,"Direct and coordinate, through subordinate supervisory personnel, activities of workers engaged in fish hatchery production for corporations, cooperatives, or other owners.",2009,11-9011,14
11-9012.00,Farmers and Ranchers,"On an ownership or rental basis, operate farms, ranches, greenhouses, nurseries, timber tracts, or other agricultural production establishments which produce crops, horticultural specialties, livestock, poultry, finfish, shellfish, or animal specialties. May plant, cultivate, harvest, perform post-harvest activities, and market crops and livestock; may hire, train, and supervise farm workers or supervise a farm labor contractor; may prepare cost, production, and other records. May maintain and operate machinery and perform physical work.",2000,11-9012,14
11-9012.00,Farmers and Ranchers,"On an ownership or rental basis, operate farms, ranches, greenhouses, nurseries, timber tracts, or other agricultural production establishments which produce crops, horticultural specialties, livestock, poultry, finfish, shellfish, or animal specialties. May plant, cultivate, harvest, perform post-harvest activities, and market crops and livestock; may hire, train, and supervise farm workers or supervise a farm labor contractor; may prepare cost, production, and other records. May maintain and operate machinery and perform physical work.",2006,11-9012,14
11-9012.00,Farmers and Ranchers,"On an ownership or rental basis, operate farms, ranches, greenhouses, nurseries, timber tracts, or other agricultural production establishments which produce crops, horticultural specialties, livestock, poultry, finfish, shellfish, or animal specialties. May plant, cultivate, harvest, perform post-harvest activities, and market crops and livestock; may hire, train, and supervise farm workers or supervise a farm labor contractor; may prepare cost, production, and other records. May maintain and operate machinery and perform physical work.",2009,11-9012,14
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.",2010,11-9013,14
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.",2019,11-9013,14
11-9013.01,Nursery and Greenhouse Managers,"Plan, organize, direct, control, and coordinate activities of workers engaged in propagating, cultivating, and harvesting horticultural specialties, such as trees, shrubs, flowers, mushrooms, and other plants.",2010,11-9013,14
11-9013.02,Farm and Ranch Managers,"Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, or supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, financial, or marketing activities.",2010,11-9013,14
11-9013.03,Aquacultural Managers,"Direct and coordinate, through subordinate supervisory personnel, activities of workers engaged in fish hatchery production for corporations, cooperatives, or other owners.",2010,11-9013,14
11-9021.00,Construction Managers,"Plan, direct, coordinate, or budget, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, and implementation.",2000,11-9021,15
11-9021.00,Construction Managers,"Plan, direct, coordinate, or budget, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, and implementation.",2006,11-9021,15
11-9021.00,Construction Managers,"Plan, direct, coordinate, or budget, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, and implementation.",2009,11-9021,15
11-9021.00,Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",2010,11-9021,15
11-9021.00,Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",2019,11-9021,15
11-9031.00,"Education Administrators, Preschool and Child Care Center/Program","Plan, direct, or coordinate the academic and nonacademic activities of preschool and child care centers or programs.",2000,11-9031,16
11-9031.00,"Education Administrators, Preschool and Child Care Center/Program","Plan, direct, or coordinate the academic and nonacademic activities of preschool and child care centers or programs.",2006,11-9031,16
